smiles	status	PUBCHEM_CID	InChI	IUPAC	Isomeric_SMILES	Name	Source
NCCc1ccc(c(c1)OC)O.Cl	0	11957621	InChI=1S/C9H13NO2.ClH/c1-12-9-6-7(4-5-10)2-3-8(9)11;/h2-3,6,11H,4-5,10H2,1H3;1H	4-(2-aminoethyl)-2-methoxyphenol;hydrochloride	COC1=C(C=CC(=C1)CCN)O.Cl	3-Methoxy-4-hydroxyphenethylamine hydrochloride	PMID: 24134630
NCCc1ccc(cc1)O.Cl	0	66449	InChI=1S/C8H11NO.ClH/c9-6-5-7-1-3-8(10)4-2-7;/h1-4,10H,5-6,9H2;1H	4-(2-aminoethyl)phenol;hydrochloride	C1=CC(=CC=C1CCN)O.Cl	4-Hydroxyphenethylamine hydrochloride	PMID: 24134630
NCCCP(=O)(O)C.Cl	0	6603339	InChI=1S/C4H12NO2P.ClH/c1-8(6,7)4-2-3-5;/h2-5H2,1H3,(H,6,7);1H	3-aminopropyl(methyl)phosphinic acid;hydrochloride	CP(=O)(CCCN)O.Cl	SKF 97541 hydrochloride	PMID: 24134630
NCCNC(=O)c1ccc(cc1)Cl.Cl	0	5702251	InChI=1S/C9H11ClN2O.ClH/c10-8-3-1-7(2-4-8)9(13)12-6-5-11;/h1-4H,5-6,11H2,(H,12,13);1H	N-(2-aminoethyl)-4-chlorobenzamide;hydrochloride	C1=CC(=CC=C1C(=O)NCCN)Cl.Cl	Ro 16-6491 hydrochloride	PMID: 24134630
O[C@@H]([C@@H](C(=O)O)O)C(=O)O.CC(NC[C@@H](c1ccc(c(c1)O)O)O)C	0	11957571	InChI=1S/C11H17NO3.C4H6O6/c1-7(2)12-6-11(15)8-3-4-9(13)10(14)5-8;5-1(3(7)8)2(6)4(9)10/h3-5,7,11-15H,6H2,1-2H3;1-2,5-6H,(H,7,8)(H,9,10)/t11-;1-,2-/m00/s1	(2S,3S)-2,3-dihydroxybutanedioic acid;4-[(1R)-1-hydroxy-2-(propan-2-ylamino)ethyl]benzene-1,2-diol	CC(C)NC[C@@H](C1=CC(=C(C=C1)O)O)O.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O	R(-)-Isoproterenol (+)-bitartrate	PMID: 24134630
O[C@@H](C(=O)N[C@H](C(=O)O)CC(C)C)[C@@H](Cc1ccccc1)N.Cl	0	11957538	InChI=1S/C16H24N2O4.ClH/c1-10(2)8-13(16(21)22)18-15(20)14(19)12(17)9-11-6-4-3-5-7-11;/h3-7,10,12-14,19H,8-9,17H2,1-2H3,(H,18,20)(H,21,22);1H/t12-,13+,14-;/m1./s1	(2S)-2-[[(2R,3R)-3-amino-2-hydroxy-4-phenylbutanoyl]amino]-4-methylpentanoic acid;hydrochloride	CC(C)C[C@@H](C(=O)O)NC(=O)[C@@H]([C@@H](CC1=CC=CC=C1)N)O.Cl	Epibestatin hydrochloride	PMID: 24134630
O[C@H]([C@H](C(=O)O)O)C(=O)O.NC[C@@H](c1ccc(c(c1)O)O)O	0	25127519	InChI=1S/C8H11NO3.C4H6O6/c9-4-8(12)5-1-2-6(10)7(11)3-5;5-1(3(7)8)2(6)4(9)10/h1-3,8,10-12H,4,9H2;1-2,5-6H,(H,7,8)(H,9,10)/t8-;1-,2-/m01/s1	4-[(1R)-2-amino-1-hydroxyethyl]benzene-1,2-diol;(2R,3R)-2,3-dihydroxybutanedioic acid	C1=CC(=C(C=C1[C@H](CN)O)O)O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O	(±)-Norepinephrine (+)bitartrate	PMID: 24134630
O[C@H]1CC[C@@]2([C@@]34[C@H]1Oc1c4c(C[C@H]2N(CC3)CC2CCC2)ccc1O)O.Cl	0	5360733	InChI=1S/C21H27NO4.ClH/c23-14-5-4-13-10-16-21(25)7-6-15(24)19-20(21,17(13)18(14)26-19)8-9-22(16)11-12-2-1-3-12;/h4-5,12,15-16,19,23-25H,1-3,6-11H2;1H/t15-,16+,19-,20-,21+;/m0./s1	(4R,4aS,7S,7aR,12bS)-3-(cyclobutylmethyl)-1,2,4,5,6,7,7a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinoline-4a,7,9-triol;hydrochloride	C1CC(C1)CN2CC[C@]34[C@@H]5[C@H](CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O)O.Cl	Nalbuphine hydrochloride	PMID: 24134630
O=C([C@H](CCS(=O)(=O)C)N)NC1CC2C([C@]1(CC2)CS(=O)(=O)N1CCN(CC1)c1ccccc1C)(C)C.Cl	0	11957584	InChI=1S/C26H42N4O5S2.ClH/c1-19-7-5-6-8-22(19)29-12-14-30(15-13-29)37(34,35)18-26-11-9-20(25(26,2)3)17-23(26)28-24(31)21(27)10-16-36(4,32)33;/h5-8,20-21,23H,9-18,27H2,1-4H3,(H,28,31);1H/t20?,21-,23?,26+;/m0./s1	(2S)-2-amino-N-[(1S)-7,7-dimethyl-1-[[4-(2-methylphenyl)piperazin-1-yl]sulfonylmethyl]-2-bicyclo[2.2.1]heptanyl]-4-methylsulfonylbutanamide;hydrochloride	CC1=CC=CC=C1N2CCN(CC2)S(=O)(=O)C[C@@]34CCC(C3(C)C)CC4NC(=O)[C@H](CCS(=O)(=O)C)N.Cl	L-368,899	PMID: 24134630
O=C(C(c1ccccc1)c1ccccc1)OC1CC[N+](CC1)(C)C.[I-]	0	3014059	InChI=1S/C21H26NO2.HI/c1-22(2)15-13-19(14-16-22)24-21(23)20(17-9-5-3-6-10-17)18-11-7-4-8-12-18;/h3-12,19-20H,13-16H2,1-2H3;1H/q+1;/p-1	(1,1-dimethylpiperidin-1-ium-4-yl) 2,2-diphenylacetate;iodide	C[N+]1(CCC(CC1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3)C.[I-]	4-DAMP methiodide	PMID: 24134630
O=C(C[N+](C)(C)C)Nc1c(C)cccc1C.[Cl-]	0	9795082	InChI=1S/C13H20N2O.ClH/c1-10-7-6-8-11(2)13(10)14-12(16)9-15(3,4)5;/h6-8H,9H2,1-5H3;1H	[2-(2,6-dimethylanilino)-2-oxoethyl]-trimethylazanium;chloride	CC1=C(C(=CC=C1)C)NC(=O)C[N+](C)(C)C.[Cl-]	Lidocaine N-methyl hydrochloride	PMID: 24134630
O=C(c1c[nH]c2c1cccc2)OC1CC2CCC(C1)[N+]2(C)C.[I-]	0	11957728	InChI=1S/C18H22N2O2.HI/c1-20(2)12-7-8-13(20)10-14(9-12)22-18(21)16-11-19-17-6-4-3-5-15(16)17;/h3-6,11-14H,7-10H2,1-2H3;1H	(8,8-dimethyl-8-azoniabicyclo[3.2.1]octan-3-yl) 1H-indole-3-carboxylate;iodide	C[N+]1(C2CCC1CC(C2)OC(=O)C3=CNC4=CC=CC=C43)C.[I-]	3-Tropanylindole-3-carboxylate methiodide	PMID: 24134630
O=C(c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F)NCC1CCCCN1.CC(=O)O	0	41022	InChI=1S/C17H20F6N2O3.C2H4O2/c18-16(19,20)9-27-12-4-5-14(28-10-17(21,22)23)13(7-12)15(26)25-8-11-3-1-2-6-24-11;1-2(3)4/h4-5,7,11,24H,1-3,6,8-10H2,(H,25,26);1H3,(H,3,4)	acetic acid;N-(piperidin-2-ylmethyl)-2,5-bis(2,2,2-trifluoroethoxy)benzamide	CC(=O)O.C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F	Flecainide acetate	PMID: 24134630
O=C(c1ccc(cc1)Cl)N[C@H]1CN2CCC1CC2.Cl	0	11243536	InChI=1S/C14H17ClN2O.ClH/c15-12-3-1-11(2-4-12)14(18)16-13-9-17-7-5-10(13)6-8-17;/h1-4,10,13H,5-9H2,(H,16,18);1H/t13-;/m0./s1	N-[(3R)-1-azabicyclo[2.2.2]octan-3-yl]-4-chlorobenzamide;hydrochloride	C1CN2CCC1[C@H](C2)NC(=O)C3=CC=C(C=C3)Cl.Cl	PNU-282987	PMID: 24134630
O=C(c1ccccc1O)OCOC(=O)c1ccccc1O.NCCCC[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)O)CC(=O)N)CC(=O)O)Cc1[nH]cnc1)Cc1ccccc1)[C@H](CC)C)CCCN)NC(=O)[C@H]([C@H](CC)C)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)C1CSC(=N1)C(C(CC)C)N)CC(C)C)CCC(=O)O	1	11980094	InChI=1S/C66H105N17O17S.C15H12O6/c1-9-35(6)52(70)65-81-48(32-101-65)62(96)76-43(26-34(4)5)58(92)74-42(22-23-50(85)86)57(91)83-53(36(7)10-2)63(97)75-40(20-15-16-24-67)55(89)73-41(21-17-25-68)56(90)82-54(37(8)11-3)64(98)79-44(27-38-18-13-12-14-19-38)59(93)77-45(28-39-31-71-33-72-39)60(94)78-46(30-51(87)88)61(95)80-47(66(99)100)29-49(69)84;16-12-7-3-1-5-10(12)14(18)20-9-21-15(19)11-6-2-4-8-13(11)17/h12-14,18-19,31,33-37,40-48,52-54H,9-11,15-17,20-30,32,67-68,70H2,1-8H3,(H2,69,84)(H,71,72)(H,73,89)(H,74,92)(H,75,97)(H,76,96)(H,77,93)(H,78,94)(H,79,98)(H,80,95)(H,82,90)(H,83,91)(H,85,86)(H,87,88)(H,99,100);1-8,16-17H,9H2/t35?,36-,37-,40-,41+,42+,43-,44+,45-,46+,47-,48?,52?,53-,54-;/m0./s1	(4R)-5-[[(2S,3S)-1-[[(2S)-6-amino-1-[[(2R)-5-amino-1-[[(2S,3S)-1-[[(2R)-1-[[(2S)-1-[[(2R)-1-[[(1S)-3-amino-1-carboxy-3-oxopropyl]amino]-3-carboxy-1-oxopropan-2-yl]amino]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]amino]-1-oxo-3-phenylpropan-2-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-1-oxopentan-2-yl]amino]-1-oxohexan-2-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-4-[[(2S)-2-[[2-(1-amino-2-methylbutyl)-4,5-dihydro-1,3-thiazole-4-carbonyl]amino]-4-methylpentanoyl]amino]-5-oxopentanoic acid;(2-hydroxybenzoyl)oxymethyl 2-hydroxybenzoate	CC[C@H](C)[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCN)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](CC(=O)N)C(=O)O)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)C3CSC(=N3)C(C(C)CC)N.C1=CC=C(C(=C1)C(=O)OCOC(=O)C2=CC=CC=C2O)O	Bacitracin	Geroprotective Compounds
O=C(Cc1c(Cl)cccc1Cl)N=C(N)N.Cl	1	71401	InChI=1S/C9H9Cl2N3O.ClH/c10-6-2-1-3-7(11)5(6)4-8(15)14-9(12)13;/h1-3H,4H2,(H4,12,13,14,15);1H	N-(diaminomethylidene)-2-(2,6-dichlorophenyl)acetamide;hydrochloride	C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl.Cl	Guanfacine hydrochloride	DrugAge Database
O=C(N([C@H]1CCCC[C@@H]1N1CCCC1)C)Cc1ccc(c(c1)Cl)Cl.Cl	0	9931141	InChI=1S/C19H26Cl2N2O.ClH/c1-22(19(24)13-14-8-9-15(20)16(21)12-14)17-6-2-3-7-18(17)23-10-4-5-11-23;/h8-9,12,17-18H,2-7,10-11,13H2,1H3;1H/t17-,18-;/m0./s1	2-(3,4-dichlorophenyl)-N-methyl-N-[(1S,2S)-2-pyrrolidin-1-ylcyclohexyl]acetamide;hydrochloride	CN([C@H]1CCCC[C@@H]1N2CCCC2)C(=O)CC3=CC(=C(C=C3)Cl)Cl.Cl	(-)-trans-(1S,2S)-U-50488 hydrochloride	PMID: 24134630
O=C(N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)[O-])COC(=O)C)CCC[C@H](C(=O)[O-])N.[Zn+2]	0	11957494	InChI=1S/C16H21N3O8S.Zn/c1-7(20)27-5-8-6-28-14-11(13(22)19(14)12(8)16(25)26)18-10(21)4-2-3-9(17)15(23)24;/h9,11,14H,2-6,17H2,1H3,(H,18,21)(H,23,24)(H,25,26);/q;+2/p-2/t9-,11-,14-;/m1./s1	zinc;(6R,7R)-3-(acetyloxymethyl)-7-[[(5R)-5-amino-5-carboxylatopentanoyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate	CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CCC[C@H](C(=O)[O-])N)SC1)C(=O)[O-].[Zn+2]	Cephalosporin C zinc salt	PMID: 24134630
O=C(N1CCc2c1cc1ccn(c1c2)C)Nc1cccnc1.Cl	0	11957707	InChI=1S/C17H16N4O.ClH/c1-20-7-4-12-10-16-13(9-15(12)20)5-8-21(16)17(22)19-14-3-2-6-18-11-14;/h2-4,6-7,9-11H,5,8H2,1H3,(H,19,22);1H	1-methyl-N-pyridin-3-yl-6,7-dihydropyrrolo[2,3-f]indole-5-carboxamide;hydrochloride	CN1C=CC2=CC3=C(CCN3C(=O)NC4=CN=CC=C4)C=C21.Cl	SB 206553 hydrochloride	PMID: 24134630
O=C(N1CCCCC1CN1CCCC1)Cc1ccc(c(c1)Cl)Cl.Cl	0	11315337	InChI=1S/C18H24Cl2N2O.ClH/c19-16-7-6-14(11-17(16)20)12-18(23)22-10-2-1-5-15(22)13-21-8-3-4-9-21;/h6-7,11,15H,1-5,8-10,12-13H2;1H	2-(3,4-dichlorophenyl)-1-[2-(pyrrolidin-1-ylmethyl)piperidin-1-yl]ethanone;hydrochloride	C1CCN(C(C1)CN2CCCC2)C(=O)CC3=CC(=C(C=C3)Cl)Cl.Cl	BRL 52537 hydrochloride	PMID: 24134630
O=C(Nc1cccc(c1)Cl)OCC#CC[N+](C)(C)C.[Cl-]	0	5926	InChI=1S/C14H17ClN2O2.ClH/c1-17(2,3)9-4-5-10-19-14(18)16-13-8-6-7-12(15)11-13;/h6-8,11H,9-10H2,1-3H3;1H	4-[(3-chlorophenyl)carbamoyloxy]but-2-ynyl-trimethylazanium;chloride	C[N+](C)(C)CC#CCOC(=O)NC1=CC(=CC=C1)Cl.[Cl-]	McN-A-343	PMID: 24134630
O=C(Nc1cccnc1)Nc1ccc2c(c1)ccn2C.Cl	0	5311422	InChI=1S/C15H14N4O.ClH/c1-19-8-6-11-9-12(4-5-14(11)19)17-15(20)18-13-3-2-7-16-10-13;/h2-10H,1H3,(H2,17,18,20);1H	1-(1-methylindol-5-yl)-3-pyridin-3-ylurea;hydrochloride	CN1C=CC2=C1C=CC(=C2)NC(=O)NC3=CN=CC=C3.Cl	SB 200646 hydrochloride	PMID: 24134630
O=C1[N-]C(=O)NC1(c1ccccc1)c1ccccc1.[Na+]	0	657302	InChI=1S/C15H12N2O2.Na/c18-13-15(17-14(19)16-13,11-7-3-1-4-8-11)12-9-5-2-6-10-12;/h1-10H,(H2,16,17,18,19);/q;+1/p-1	sodium;5,5-diphenylimidazolidin-3-ide-2,4-dione	C1=CC=C(C=C1)C2(C(=O)[N-]C(=O)N2)C3=CC=CC=C3.[Na+]	Phenytoin sodium	PMID: 24134630
O=C1C(=CC(=O)C(=C1C)C)CCCCCCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-]	1	16679091	InChI=1S/C36H42O2P.BrH/c1-29-30(2)36(38)31(28-35(29)37)20-12-7-5-3-4-6-8-19-27-39(32-21-13-9-14-22-32,33-23-15-10-16-24-33)34-25-17-11-18-26-34;/h9-11,13-18,21-26,28H,3-8,12,19-20,27H2,1-2H3;1H/q+1;/p-1	10-(4,5-dimethyl-3,6-dioxocyclohexa-1,4-dien-1-yl)decyl-triphenylphosphanium;bromide	CC1=C(C(=O)C(=CC1=O)CCCCCCCCCC[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)C.[Br-]	SkQ1	DrugAge Database
O=c1cc(oc2c1cccc2c1ccccc1)N1CCOCC1.Cl	0	11957589	InChI=1S/C19H17NO3.ClH/c21-17-13-18(20-9-11-22-12-10-20)23-19-15(7-4-8-16(17)19)14-5-2-1-3-6-14;/h1-8,13H,9-12H2;1H	2-morpholin-4-yl-8-phenylchromen-4-one;hydrochloride	C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4.Cl	LY-294,002 hydrochloride	PMID: 24134630
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ncccn1.Cl	0	36431	InChI=1S/C21H31N5O2.ClH/c27-18-16-21(6-1-2-7-21)17-19(28)26(18)11-4-3-10-24-12-14-25(15-13-24)20-22-8-5-9-23-20;/h5,8-9H,1-4,6-7,10-17H2;1H	8-[4-(4-pyrimidin-2-ylpiperazin-1-yl)butyl]-8-azaspiro[4.5]decane-7,9-dione;hydrochloride	C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4.Cl	Buspirone hydrochloride	PMID: 24134630
O=C1NCC2(O1)CCN(CC2)CCc1ccccc1.Cl	0	68626	InChI=1S/C15H20N2O2.ClH/c18-14-16-12-15(19-14)7-10-17(11-8-15)9-6-13-4-2-1-3-5-13;/h1-5H,6-12H2,(H,16,18);1H	8-(2-phenylethyl)-1-oxa-3,8-diazaspiro[4.5]decan-2-one;hydrochloride	C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3.Cl	Fenspiride hydrochloride	PMID: 24134630
O=C1O[C@H](c2c1c1OCOc1cc2)[C@@H]1c2cc3OCOc3cc2CC[N+]1(C)C.[Br-]	0	6852386	InChI=1S/C21H20NO6.BrH/c1-22(2)6-5-11-7-15-16(26-9-25-15)8-13(11)18(22)19-12-3-4-14-20(27-10-24-14)17(12)21(23)28-19;/h3-4,7-8,18-19H,5-6,9-10H2,1-2H3;1H/q+1;/p-1/t18-,19+;/m0./s1	(6R)-6-[(5S)-6,6-dimethyl-7,8-dihydro-5H-[1,3]dioxolo[4,5-g]isoquinolin-6-ium-5-yl]-6H-furo[3,4-g][1,3]benzodioxol-8-one;bromide	C[N+]1(CCC2=CC3=C(C=C2[C@H]1[C@H]4C5=C(C6=C(C=C5)OCO6)C(=O)O4)OCO3)C.[Br-]	(-)-Bicuculline methbromide, 1(S), 9(R)	PMID: 24134630
O=CC[N+](C)(C)C.[Cl-]	0	2735510	InChI=1S/C5H12NO.ClH/c1-6(2,3)4-5-7;/h5H,4H2,1-3H3;1H/q+1;/p-1	trimethyl(2-oxoethyl)azanium;chloride	C[N+](C)(C)CC=O.[Cl-]	Betaine aldehyde chloride	PMID: 24134630
OC(=O)[C@H]([C@H](C(=O)O)OC(=O)c1ccc(cc1)C)OC(=O)c1ccc(cc1)C.CN1CCC[C@@H]1c1cccnc1	0	11957647	InChI=1S/C20H18O8.C10H14N2/c1-11-3-7-13(8-4-11)19(25)27-15(17(21)22)16(18(23)24)28-20(26)14-9-5-12(2)6-10-14;1-12-7-3-5-10(12)9-4-2-6-11-8-9/h3-10,15-16H,1-2H3,(H,21,22)(H,23,24);2,4,6,8,10H,3,5,7H2,1H3/t15-,16+;10-/m.1/s1	(2R,3S)-2,3-bis[(4-methylbenzoyl)oxy]butanedioic acid;3-[(2R)-1-methylpyrrolidin-2-yl]pyridine	CC1=CC=C(C=C1)C(=O)O[C@H]([C@@H](C(=O)O)OC(=O)C2=CC=C(C=C2)C)C(=O)O.CN1CCC[C@@H]1C2=CN=CC=C2	(+)-Nicotine (+)-di-p-toluoyl tartrate	PMID: 24134630
OC(=O)/C=C/C(=O)O.NCCC#N	1	6433176	InChI=1S/C4H4O4.C3H6N2/c5-3(6)1-2-4(7)8;4-2-1-3-5/h1-2H,(H,5,6)(H,7,8);1-2,4H2/b2-1+;	3-aminopropanenitrile;(E)-but-2-enedioic acid	C(CN)C#N.C(=C/C(=O)O)\C(=O)O	beta-Aminopropionitrile fumarate	DrugAge Database
OC(=O)/C=C\C(=O)O.CC[C@H](NC(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)c[nH]3)CO	1	5281072	InChI=1S/C20H25N3O2.C4H4O4/c1-3-14(11-24)22-20(25)13-7-16-15-5-4-6-17-19(15)12(9-21-17)8-18(16)23(2)10-13;5-3(6)1-2-4(7)8/h4-7,9,13-14,18,21,24H,3,8,10-11H2,1-2H3,(H,22,25);1-2H,(H,5,6)(H,7,8)/b;2-1-/t13-,14+,18-;/m1./s1	(6aR,9R)-N-[(2S)-1-hydroxybutan-2-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide;(Z)-but-2-enedioic acid	CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C.C(=C\C(=O)O)\C(=O)O	Methylergonovine maleate	DrugAge Database
OC(=O)/C=C\C(=O)O.CC[C@H](NC(=O)[C@H]1CN(C)[C@H]2C(=C1)c1cccc3c1c(C2)cn3C)CO	0	5281073	InChI=1S/C21H27N3O2.C4H4O4/c1-4-15(12-25)22-21(26)14-8-17-16-6-5-7-18-20(16)13(10-23(18)2)9-19(17)24(3)11-14;5-3(6)1-2-4(7)8/h5-8,10,14-15,19,25H,4,9,11-12H2,1-3H3,(H,22,26);1-2H,(H,5,6)(H,7,8)/b;2-1-/t14-,15+,19-;/m1./s1	(6aR,9R)-N-[(2S)-1-hydroxybutan-2-yl]-4,7-dimethyl-6,6a,8,9-tetrahydroindolo[4,3-fg]quinoline-9-carboxamide;(Z)-but-2-enedioic acid	CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C.C(=C\C(=O)O)\C(=O)O	Methysergide maleate	PMID: 24134630
OC(=O)/C=C\C(=O)O.CCOC(=O)Nc1ccc(nc1N)NCc1ccc(cc1)F	0	6435335	InChI=1S/C15H17FN4O2.C4H4O4/c1-2-22-15(21)19-12-7-8-13(20-14(12)17)18-9-10-3-5-11(16)6-4-10;5-3(6)1-2-4(7)8/h3-8H,2,9H2,1H3,(H,19,21)(H3,17,18,20);1-2H,(H,5,6)(H,7,8)/b;2-1-	(Z)-but-2-enedioic acid;ethyl N-[2-amino-6-[(4-fluorophenyl)methylamino]pyridin-3-yl]carbamate	CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N.C(=C\C(=O)O)\C(=O)O	Flupirtine maleate	PMID: 24134630
OC(=O)/C=C\C(=O)O.COc1ccc(cc1)CN(c1ccccn1)CCN(C)C	0	5284451	InChI=1S/C17H23N3O.C4H4O4/c1-19(2)12-13-20(17-6-4-5-11-18-17)14-15-7-9-16(21-3)10-8-15;5-3(6)1-2-4(7)8/h4-11H,12-14H2,1-3H3;1-2H,(H,5,6)(H,7,8)/b;2-1-	(Z)-but-2-enedioic acid;N'-[(4-methoxyphenyl)methyl]-N,N-dimethyl-N'-pyridin-2-ylethane-1,2-diamine	CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2.C(=C\C(=O)O)\C(=O)O	Pyrilamine maleate	PMID: 24134630
OC(=O)/C=C\C(=O)O.COc1ccccc1N1CCN(CC1)CCCCNS(=O)(=O)c1cccc2c1cccc2N(C)C	1	11957682	InChI=1S/C27H36N4O3S.C4H4O4/c1-29(2)24-13-8-11-23-22(24)10-9-15-27(23)35(32,33)28-16-6-7-17-30-18-20-31(21-19-30)25-12-4-5-14-26(25)34-3;5-3(6)1-2-4(7)8/h4-5,8-15,28H,6-7,16-21H2,1-3H3;1-2H,(H,5,6)(H,7,8)/b;2-1-	(Z)-but-2-enedioic acid;5-(dimethylamino)-N-[4-[4-(2-methoxyphenyl)piperazin-1-yl]butyl]naphthalene-1-sulfonamide	CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)NCCCCN3CCN(CC3)C4=CC=CC=C4OC.C(=C\C(=O)O)\C(=O)O	Cortexolone maleate	DrugAge Database
OC(=O)C(=O)O.Cc1ccccc1/C=C/C1=NCCN1	0	11957617	InChI=1S/C12H14N2.C2H2O4/c1-10-4-2-3-5-11(10)6-7-12-13-8-9-14-12;3-1(4)2(5)6/h2-7H,8-9H2,1H3,(H,13,14);(H,3,4)(H,5,6)/b7-6+;	2-[(E)-2-(2-methylphenyl)ethenyl]-4,5-dihydro-1H-imidazole;oxalic acid	CC1=CC=CC=C1/C=C/C2=NCCN2.C(=O)(C(=O)O)O	Metrazoline oxalate	PMID: 24134630
OC(=O)C(=O)O.CCc1ccccc1OC[C@H](CN[C@H]1CCc2c(C1)cccc2)O	0	11957700	InChI=1S/C21H27NO2.C2H2O4/c1-2-16-7-5-6-10-21(16)24-15-20(23)14-22-19-12-11-17-8-3-4-9-18(17)13-19;3-1(4)2(5)6/h3-10,19-20,22-23H,2,11-15H2,1H3;(H,3,4)(H,5,6)/t19-,20-;/m0./s1	(2S)-1-(2-ethylphenoxy)-3-[[(2S)-1,2,3,4-tetrahydronaphthalen-2-yl]amino]propan-2-ol;oxalic acid	CCC1=CC=CC=C1OC[C@H](CN[C@H]2CCC3=CC=CC=C3C2)O.C(=O)(C(=O)O)O	SR 59230A oxalate	PMID: 24134630
OC(=O)C(=O)O.CNCCc1c[nH]c2c1cc(O)cc2	0	260390	InChI=1S/C11H14N2O.C2H2O4/c1-12-5-4-8-7-13-11-3-2-9(14)6-10(8)11;3-1(4)2(5)6/h2-3,6-7,12-14H,4-5H2,1H3;(H,3,4)(H,5,6)	3-[2-(methylamino)ethyl]-1H-indol-5-ol;oxalic acid	CNCCC1=CNC2=C1C=C(C=C2)O.C(=O)(C(=O)O)O	N-omega-Methyl-5-hydroxytryptamine oxalate salt	PMID: 24134630
OC(=O)C(CC(=O)O)(CC(=O)O)O.CCN(CCOCCOC(=O)C1(CCCC1)c1ccccc1)CC	0	90010	InChI=1S/C20H31NO3.C6H8O7/c1-3-21(4-2)14-15-23-16-17-24-19(22)20(12-8-9-13-20)18-10-6-5-7-11-18;7-3(8)1-6(13,5(11)12)2-4(9)10/h5-7,10-11H,3-4,8-9,12-17H2,1-2H3;13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)	2-[2-(diethylamino)ethoxy]ethyl 1-phenylcyclopentane-1-carboxylate;2-hydroxypropane-1,2,3-tricarboxylic acid	CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O	Carbetapentane citrate	PMID: 24134630
OC(=O)C(CCP(=O)(O)O)(C)C.Cl	0	11957608	InChI=1S/C6H13O5P.ClH/c1-6(2,5(7)8)3-4-12(9,10)11;/h3-4H2,1-2H3,(H,7,8)(H2,9,10,11);1H	2,2-dimethyl-4-phosphonobutanoic acid;hydrochloride	CC(C)(CCP(=O)(O)O)C(=O)O.Cl	(S)-MAP4 hydrochloride	PMID: 24134630
OC(=O)C1(N)CCCCC1.Cl	0	2724466	InChI=1S/C7H13NO2.ClH/c8-7(6(9)10)4-2-1-3-5-7;/h1-5,8H2,(H,9,10);1H	1-aminocyclohexane-1-carboxylic acid;hydrochloride	C1CCC(CC1)(C(=O)O)N.Cl	1-Amino-1-cyclohexanecarboxylic acid hydrochloride	PMID: 24134630
OC(=O)C1=CCCNC1.Cl	0	11957555	InChI=1S/C6H9NO2.ClH/c8-6(9)5-2-1-3-7-4-5;/h2,7H,1,3-4H2,(H,8,9);1H	1,2,3,6-tetrahydropyridine-5-carboxylic acid;hydrochloride	C1CNCC(=C1)C(=O)O.Cl	Guvacine hydrochloride	PMID: 24134630
