Name	Compound IUPAC	InChI	Canonical_SMILES	PUBCHEM_CID	Status	Source
5-Amino-2-thiophen-3-yl-oxazole-4-carboxylic acid amide	5-amino-2-thiophen-3-yl-1,3-oxazole-4-carboxamide	InChI=1S/C8H7N3O2S/c9-6(12)5-7(10)13-8(11-5)4-1-2-14-3-4/h1-3H,10H2,(H2,9,12)	NC(=O)c1nc(oc1N)c1cscc1	11615418	1	AID_264519_datatable_active
5-Amino-2-phenyloxazole-4-carboxylic acid amide	5-amino-2-phenyl-1,3-oxazole-4-carboxamide	InChI=1S/C10H9N3O2/c11-8(14)7-9(12)15-10(13-7)6-4-2-1-3-5-6/h1-5H,12H2,(H2,11,14)	NC(=O)c1nc(oc1N)c1ccccc1	11708263	1	AID_264519_datatable_active
5-Amino-2-(4-chloro-phenyl)-oxazole-4-carboxylic acid amide	5-amino-2-(4-chlorophenyl)-1,3-oxazole-4-carboxamide	InChI=1S/C10H8ClN3O2/c11-6-3-1-5(2-4-6)10-14-7(8(12)15)9(13)16-10/h1-4H,13H2,(H2,12,15)	Clc1ccc(cc1)c1oc(c(n1)C(=O)N)N	11680280	1	AID_264519_datatable_active
5-Amino-2-(4-methoxy-phenyl)-oxazole-4-carboxylic acid amide	5-amino-2-(4-methoxyphenyl)-1,3-oxazole-4-carboxamide	InChI=1S/C11H11N3O3/c1-16-7-4-2-6(3-5-7)11-14-8(9(12)15)10(13)17-11/h2-5H,13H2,1H3,(H2,12,15)	COc1ccc(cc1)c1oc(c(n1)C(=O)N)N	11550419	1	AID_264519_datatable_active
3-Amino-5-(4-methoxyphenyl)-2-thiophenecarboxamide	3-amino-5-(4-methoxyphenyl)thiophene-2-carboxamide	InChI=1S/C12H12N2O2S/c1-16-8-4-2-7(3-5-8)10-6-9(13)11(17-10)12(14)15/h2-6H,13H2,1H3,(H2,14,15)	COc1ccc(cc1)c1cc(c(s1)C(=O)N)N	4278270	1	AID_264519_datatable_active
2-Amino-5-phenylthiophene-3-carboxamide	2-amino-5-phenylthiophene-3-carboxamide	InChI=1S/C11H10N2OS/c12-10(14)8-6-9(15-11(8)13)7-4-2-1-3-5-7/h1-6H,13H2,(H2,12,14)	NC(=O)c1cc(sc1N)c1ccccc1	703965	1	AID_264519_datatable_active
2-Aminoquinoline-3-carboxamide	2-aminoquinoline-3-carboxamide	InChI=1S/C10H9N3O/c11-9-7(10(12)14)5-6-3-1-2-4-8(6)13-9/h1-5H,(H2,11,13)(H2,12,14)	NC(=O)c1cc2ccccc2nc1N	5200228	1	AID_264519_datatable_active
5-Amino-2-benzthiophene-2-yl-oxazole-4-carboxylic acid amide	5-amino-2-(1-benzothiophen-2-yl)-1,3-oxazole-4-carboxamide	InChI=1S/C12H9N3O2S/c13-10(16)9-11(14)17-12(15-9)8-5-6-3-1-2-4-7(6)18-8/h1-5H,14H2,(H2,13,16)	NC(=O)c1nc(oc1N)c1cc2c(s1)cccc2	11550651	1	AID_264519_datatable_active
3-Amino-4-hydroxymethyl-6-methyl-thieno[2,3-b]pyridine-2-carboxamide	3-amino-4-(hydroxymethyl)-6-methylthieno[2,3-b]pyridine-2-carboxamide	InChI=1S/C10H11N3O2S/c1-4-2-5(3-14)6-7(11)8(9(12)15)16-10(6)13-4/h2,14H,3,11H2,1H3,(H2,12,15)	OCc1cc(C)nc2c1c(N)c(s2)C(=O)N	11579568	1	AID_264519_datatable_active
3-Aminothieno[2,3-b]pyridine-2-carboxamide	3-aminothieno[2,3-b]pyridine-2-carboxamide	InChI=1S/C8H7N3OS/c9-5-4-2-1-3-11-8(4)13-6(5)7(10)12/h1-3H,9H2,(H2,10,12)	NC(=O)c1sc2c(c1N)cccn2	359052	1	AID_264519_datatable_active
3-Amino-5-methyl-thieno[2,3-b]pyridine-2-carboxylic acid amide	3-amino-5-methylthieno[2,3-b]pyridine-2-carboxamide	InChI=1S/C9H9N3OS/c1-4-2-5-6(10)7(8(11)13)14-9(5)12-3-4/h2-3H,10H2,1H3,(H2,11,13)	Cc1cnc2c(c1)c(N)c(s2)C(=O)N	11608156	1	AID_264519_datatable_active
3-Amino-4,6-dimethylthieno[2,3-b]pyridine-2-carboxamide	3-amino-4,6-dimethylthieno[2,3-b]pyridine-2-carboxamide	InChI=1S/C10H11N3OS/c1-4-3-5(2)13-10-6(4)7(11)8(15-10)9(12)14/h3H,11H2,1-2H3,(H2,12,14)	Cc1cc(C)c2c(n1)sc(c2N)C(=O)N	613528	1	AID_264519_datatable_active
3-Amino-6-methyl-4-phenoxymethyl-thieno[2,3-b]pyridine-2-carboxylic acid amide	3-amino-6-methyl-4-(phenoxymethyl)thieno[2,3-b]pyridine-2-carboxamide	InChI=1S/C16H15N3O2S/c1-9-7-10(8-21-11-5-3-2-4-6-11)12-13(17)14(15(18)20)22-16(12)19-9/h2-7H,8,17H2,1H3,(H2,18,20)	Cc1cc(COc2ccccc2)c2c(n1)sc(c2N)C(=O)N	11507891	1	AID_264519_datatable_active
3-Amino-2-carbamoyl-6-methyl-thieno[2,3-b]pyridine-4-carboxylic acid ethyl ester	ethyl 3-amino-2-carbamoyl-6-methylthieno[2,3-b]pyridine-4-carboxylate	InChI=1S/C12H13N3O3S/c1-3-18-12(17)6-4-5(2)15-11-7(6)8(13)9(19-11)10(14)16/h4H,3,13H2,1-2H3,(H2,14,16)	CCOC(=O)c1cc(C)nc2c1c(N)c(s2)C(=O)N	11778364	1	AID_264519_datatable_active
N-(3-phenylpropyl)quinazolin-4-amine	N-(3-phenylpropyl)quinazolin-4-amine	InChI=1S/C17H17N3/c1-2-7-14(8-3-1)9-6-12-18-17-15-10-4-5-11-16(15)19-13-20-17/h1-5,7-8,10-11,13H,6,9,12H2,(H,18,19,20)	c1ccc(cc1)CCCNc1ncnc2c1cccc2	44288306	1	AID_448438_datatable_active
1H-Isoindole-1,3(2H)-dione, 5-amino-2-[2,6-bis(1-methylethyl)phenyl]-	5-amino-2-[2,6-di(propan-2-yl)phenyl]isoindole-1,3-dione	InChI=1S/C20H22N2O2/c1-11(2)14-6-5-7-15(12(3)4)18(14)22-19(23)16-9-8-13(21)10-17(16)20(22)24/h5-12H,21H2,1-4H3	Nc1ccc2c(c1)C(=O)N(C2=O)c1c(cccc1C(C)C)C(C)C	1235479	1	AID_448438_datatable_active
3-Hydroxy-N-(2,6-diisopropylphenyl)phthalimide	2-[2,6-di(propan-2-yl)phenyl]-4-hydroxyisoindole-1,3-dione	InChI=1S/C20H21NO3/c1-11(2)13-7-5-8-14(12(3)4)18(13)21-19(23)15-9-6-10-16(22)17(15)20(21)24/h5-12,22H,1-4H3	Oc1cccc2c1C(=O)N(C2=O)c1c(cccc1C(C)C)C(C)C	10381531	1	AID_448438_datatable_active
2-(2,6-Diisopropylphenyl)-5-hydroxyisoindoline-1,3-dione	2-[2,6-di(propan-2-yl)phenyl]-5-hydroxyisoindole-1,3-dione	InChI=1S/C20H21NO3/c1-11(2)14-6-5-7-15(12(3)4)18(14)21-19(23)16-9-8-13(22)10-17(16)20(21)24/h5-12,22H,1-4H3	Oc1ccc2c(c1)C(=O)N(C2=O)c1c(cccc1C(C)C)C(C)C	11723708	1	AID_448438_datatable_active
N-[(4-chlorophenyl)methyl]quinazolin-4-amine	N-[(4-chlorophenyl)methyl]quinazolin-4-amine	InChI=1S/C15H12ClN3/c16-12-7-5-11(6-8-12)9-17-15-13-3-1-2-4-14(13)18-10-19-15/h1-8,10H,9H2,(H,17,18,19)	Clc1ccc(cc1)CNc1ncnc2c1cccc2	5328014	1	AID_448438_datatable_active
4-(4-Chlorophenethylamino)-6-methylquinazoline	N-[2-(4-chlorophenyl)ethyl]-6-methylquinazolin-4-amine	InChI=1S/C17H16ClN3/c1-12-2-7-16-15(10-12)17(21-11-20-16)19-9-8-13-3-5-14(18)6-4-13/h2-7,10-11H,8-9H2,1H3,(H,19,20,21)	Clc1ccc(cc1)CCNc1ncnc2c1cc(C)cc2	44367375	1	AID_448438_datatable_active
4-(4-Chlorophenethylamino)-6-nitro-7-chloroquinazoline	7-chloro-N-[2-(4-chlorophenyl)ethyl]-6-nitroquinazolin-4-amine	InChI=1S/C16H12Cl2N4O2/c17-11-3-1-10(2-4-11)5-6-19-16-12-7-15(22(23)24)13(18)8-14(12)20-9-21-16/h1-4,7-9H,5-6H2,(H,19,20,21)	Clc1ccc(cc1)CCNc1ncnc2c1cc([N+](=O)[O-])c(c2)Cl	17832700	1	AID_448438_datatable_active
4-(4-Chlorophenethylamino)-6-nitroquinazoline	N-[2-(4-chlorophenyl)ethyl]-6-nitroquinazolin-4-amine	InChI=1S/C16H13ClN4O2/c17-12-3-1-11(2-4-12)7-8-18-16-14-9-13(21(22)23)5-6-15(14)19-10-20-16/h1-6,9-10H,7-8H2,(H,18,19,20)	Clc1ccc(cc1)CCNc1ncnc2c1cc(cc2)[N+](=O)[O-]	44367471	1	AID_448438_datatable_active
6-chloro-N-[2-(4-chlorophenyl)ethyl]quinazolin-4-amine	6-chloro-N-[2-(4-chlorophenyl)ethyl]quinazolin-4-amine	InChI=1S/C16H13Cl2N3/c17-12-3-1-11(2-4-12)7-8-19-16-14-9-13(18)5-6-15(14)20-10-21-16/h1-6,9-10H,7-8H2,(H,19,20,21)	Clc1ccc(cc1)CCNc1ncnc2c1cc(Cl)cc2	23631971	1	AID_448438_datatable_active
4-(4-Chlorophenethylamino)-7-aminoquinazoline	4-N-[2-(4-chlorophenyl)ethyl]quinazoline-4,7-diamine	InChI=1S/C16H15ClN4/c17-12-3-1-11(2-4-12)7-8-19-16-14-6-5-13(18)9-15(14)20-10-21-16/h1-6,9-10H,7-8,18H2,(H,19,20,21)	Clc1ccc(cc1)CCNc1ncnc2c1ccc(c2)N	44367549	1	AID_448438_datatable_active
4-(4-Chlorophenethylamino)-6-aminoquinazoline	4-N-[2-(4-chlorophenyl)ethyl]quinazoline-4,6-diamine	InChI=1S/C16H15ClN4/c17-12-3-1-11(2-4-12)7-8-19-16-14-9-13(18)5-6-15(14)20-10-21-16/h1-6,9-10H,7-8,18H2,(H,19,20,21)	Clc1ccc(cc1)CCNc1ncnc2c1cc(N)cc2	509544	1	AID_448438_datatable_active
4-(4-Chlorophenethylamino)-7-nitroquinazoline	N-[2-(4-chlorophenyl)ethyl]-7-nitroquinazolin-4-amine	InChI=1S/C16H13ClN4O2/c17-12-3-1-11(2-4-12)7-8-18-16-14-6-5-13(21(22)23)9-15(14)19-10-20-16/h1-6,9-10H,7-8H2,(H,18,19,20)	Clc1ccc(cc1)CCNc1ncnc2c1ccc(c2)[N+](=O)[O-]	44367565	1	AID_448438_datatable_active
6-Bromo-N-[2-(4-chlorophenyl)ethyl]quinazolin-4-amine	6-bromo-N-[2-(4-chlorophenyl)ethyl]quinazolin-4-amine	InChI=1S/C16H13BrClN3/c17-12-3-6-15-14(9-12)16(21-10-20-15)19-8-7-11-1-4-13(18)5-2-11/h1-6,9-10H,7-8H2,(H,19,20,21)	Clc1ccc(cc1)CCNc1ncnc2c1cc(Br)cc2	24742058	1	AID_448438_datatable_active
4-(4-Chlorophenethylamino)quinazoline	N-[2-(4-chlorophenyl)ethyl]quinazolin-4-amine	InChI=1S/C16H14ClN3/c17-13-7-5-12(6-8-13)9-10-18-16-14-3-1-2-4-15(14)19-11-20-16/h1-8,11H,9-10H2,(H,18,19,20)	Clc1ccc(cc1)CCNc1ncnc2c1cccc2	24742051	1	AID_448438_datatable_active
4-(4-Chlorophenethylamino)-6-hydroxyquinazoline	4-[2-(4-chlorophenyl)ethylamino]quinazolin-6-ol	InChI=1S/C16H14ClN3O/c17-12-3-1-11(2-4-12)7-8-18-16-14-9-13(21)5-6-15(14)19-10-20-16/h1-6,9-10,21H,7-8H2,(H,18,19,20)	Clc1ccc(cc1)CCNc1ncnc2c1cc(O)cc2	44367593	1	AID_448438_datatable_active
4-nitro-N-(quinolin-8-yl)benzenesulfonamide	4-nitro-N-quinolin-8-ylbenzenesulfonamide	InChI=1S/C15H11N3O4S/c19-18(20)12-6-8-13(9-7-12)23(21,22)17-14-5-1-3-11-4-2-10-16-15(11)14/h1-10,17H	[O-][N+](=O)c1ccc(cc1)S(=O)(=O)Nc1cccc2c1nccc2	4453505	1	AID_448438_datatable_active
2-(2,6-Dibromophenyl)-5-hydroxyisoindole-1,3-dione	2-(2,6-dibromophenyl)-5-hydroxyisoindole-1,3-dione	InChI=1S/C14H7Br2NO3/c15-10-2-1-3-11(16)12(10)17-13(19)8-5-4-7(18)6-9(8)14(17)20/h1-6,18H	Oc1ccc2c(c1)C(=O)N(C2=O)c1c(Br)cccc1Br	16730265	1	AID_448438_datatable_active
4-methyl-2-nitro-N-quinolin-8-ylbenzenesulfonamide	4-methyl-2-nitro-N-quinolin-8-ylbenzenesulfonamide	InChI=1S/C16H13N3O4S/c1-11-7-8-15(14(10-11)19(20)21)24(22,23)18-13-6-2-4-12-5-3-9-17-16(12)13/h2-10,18H,1H3	Cc1ccc(c(c1)[N+](=O)[O-])S(=O)(=O)Nc1cccc2c1nccc2	973504	1	AID_448438_datatable_active
N-(2-methylquinolin-8-yl)-3-nitrobenzenesulfonamide	N-(2-methylquinolin-8-yl)-3-nitrobenzenesulfonamide	InChI=1S/C16H13N3O4S/c1-11-8-9-12-4-2-7-15(16(12)17-11)18-24(22,23)14-6-3-5-13(10-14)19(20)21/h2-10,18H,1H3	Cc1ccc2c(n1)c(ccc2)NS(=O)(=O)c1cccc(c1)[N+](=O)[O-]	16759938	1	AID_448438_datatable_active
N-(2-Methyl-quinolin-8-yl)-2-nitro-benzenesulfonamide	N-(2-methylquinolin-8-yl)-2-nitrobenzenesulfonamide	InChI=1S/C16H13N3O4S/c1-11-9-10-12-5-4-6-13(16(12)17-11)18-24(22,23)15-8-3-2-7-14(15)19(20)21/h2-10,18H,1H3	Cc1ccc2c(n1)c(ccc2)NS(=O)(=O)c1ccccc1[N+](=O)[O-]	16759518	1	AID_448438_datatable_active
2-nitro-N-quinolin-8-ylbenzenesulfonamide	2-nitro-N-quinolin-8-ylbenzenesulfonamide	InChI=1S/C15H11N3O4S/c19-18(20)13-8-1-2-9-14(13)23(21,22)17-12-7-3-5-11-6-4-10-16-15(11)12/h1-10,17H	[O-][N+](=O)c1ccccc1S(=O)(=O)Nc1cccc2c1nccc2	739449	1	AID_448438_datatable_active
9-methyl-5H-6-thia-4,5-diaza-chrysene 6,6-dioxide	9-methyl-5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide	InChI=1S/C16H12N2O2S/c1-10-4-7-14-13(9-10)12-6-5-11-3-2-8-17-15(11)16(12)18-21(14,19)20/h2-9,18H,1H3	Cc1ccc2c(-c3ccc4c(c3NS2(=O)=O)nccc4)c1	16759925	1	AID_448438_datatable_active
9-trifluoromethyl-5H-6-thia-4,5-diaza-chrysene 6,6-dioxide	9-(trifluoromethyl)-5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide	InChI=1S/C16H9F3N2O2S/c17-16(18,19)10-4-6-13-12(8-10)11-5-3-9-2-1-7-20-14(9)15(11)21-24(13,22)23/h1-8,21H	O=S1(=O)Nc2c(-c3c1ccc(c3)C(F)(F)F)ccc1c2nccc1	16759909	1	AID_448438_datatable_active
11-methoxy-9-methyl-5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide	11-methoxy-9-methyl-5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide	InChI=1S/C17H14N2O3S/c1-10-5-6-14-12(8-10)15-13(22-2)9-11-4-3-7-18-16(11)17(15)19-23(14,20)21/h3-9,19H,1-2H3	COc1cc2cccnc2c2c1-c1cc(C)ccc1S(=O)(=O)N2	16759968	1	AID_448438_datatable_active
9-methoxy-5H-6-thia-4,5-diaza-chrysene 6,6-dioxide	9-methoxy-5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide	InChI=1S/C16H12N2O3S/c1-21-11-5-7-14-13(9-11)12-6-4-10-3-2-8-17-15(10)16(12)18-22(14,19)20/h2-9,18H,1H3	COc1ccc2c(-c3ccc4c(c3NS2(=O)=O)nccc4)c1	16759954	1	AID_448438_datatable_active
5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide	5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide	InChI=1S/C15H10N2O2S/c18-20(19)13-6-2-1-5-11(13)12-8-7-10-4-3-9-16-14(10)15(12)17-20/h1-9,17H	O=S1(=O)Nc2c3ncccc3ccc2-c2c1cccc2	659101	1	AID_448438_datatable_active
5-chloro-N-(2-methylquinolin-8-yl)thiophene-2-sulfonamide	5-chloro-N-(2-methylquinolin-8-yl)thiophene-2-sulfonamide	InChI=1S/C14H11ClN2O2S2/c1-9-5-6-10-3-2-4-11(14(10)16-9)17-21(18,19)13-8-7-12(15)20-13/h2-8,17H,1H3	Cc1ccc2c(n1)c(ccc2)NS(=O)(=O)c1ccc(s1)Cl	16759949	1	AID_448438_datatable_active
5-bromo-N-(2-methylquinolin-8-yl)thiophene-2-sulfonamide	5-bromo-N-(2-methylquinolin-8-yl)thiophene-2-sulfonamide	InChI=1S/C14H11BrN2O2S2/c1-9-5-6-10-3-2-4-11(14(10)16-9)17-21(18,19)13-8-7-12(15)20-13/h2-8,17H,1H3	Cc1ccc2c(n1)c(ccc2)NS(=O)(=O)c1ccc(s1)Br	16759908	1	AID_448438_datatable_active
5-bromo-N-quinolin-8-ylthiophene-2-sulfonamide	5-bromo-N-quinolin-8-ylthiophene-2-sulfonamide	InChI=1S/C13H9BrN2O2S2/c14-11-6-7-12(19-11)20(17,18)16-10-5-1-3-9-4-2-8-15-13(9)10/h1-8,16H	Brc1ccc(s1)S(=O)(=O)Nc1cccc2c1nccc2	2240993	1	AID_448438_datatable_active
N-(quinolin-8-yl)thiophene-2-sulfonamide	N-quinolin-8-ylthiophene-2-sulfonamide	InChI=1S/C13H10N2O2S2/c16-19(17,12-7-3-9-18-12)15-11-6-1-4-10-5-2-8-14-13(10)11/h1-9,15H	O=S(=O)(c1cccs1)Nc1cccc2c1nccc2	830459	1	AID_448438_datatable_active
5-chloro-N-(quinolin-8-yl)thiophene-2-sulfonamide	5-chloro-N-quinolin-8-ylthiophene-2-sulfonamide	InChI=1S/C13H9ClN2O2S2/c14-11-6-7-12(19-11)20(17,18)16-10-5-1-3-9-4-2-8-15-13(9)10/h1-8,16H	Clc1ccc(s1)S(=O)(=O)Nc1cccc2c1nccc2	4729240	1	AID_448438_datatable_active
2-Amino-N-(6-methoxy-quinolin-8-yl)-4-methyl-benzenesulfonamide	2-amino-N-(6-methoxyquinolin-8-yl)-4-methylbenzenesulfonamide	InChI=1S/C17H17N3O3S/c1-11-5-6-16(14(18)8-11)24(21,22)20-15-10-13(23-2)9-12-4-3-7-19-17(12)15/h3-10,20H,18H2,1-2H3	COc1cc(NS(=O)(=O)c2ccc(cc2N)C)c2c(c1)cccn2	16759911	1	AID_448438_datatable_active
2-Amino-N-(2-methyl-quinolin-8-yl)-benzenesulfonamide	2-amino-N-(2-methylquinolin-8-yl)benzenesulfonamide	InChI=1S/C16H15N3O2S/c1-11-9-10-12-5-4-7-14(16(12)18-11)19-22(20,21)15-8-3-2-6-13(15)17/h2-10,19H,17H2,1H3	Cc1ccc2c(n1)c(ccc2)NS(=O)(=O)c1ccccc1N	16759519	1	AID_448438_datatable_active
2-Amino-N-quinolin-8-yl-benzenesulfonamide	2-amino-N-quinolin-8-ylbenzenesulfonamide	InChI=1S/C15H13N3O2S/c16-12-7-1-2-9-14(12)21(19,20)18-13-8-3-5-11-6-4-10-17-15(11)13/h1-10,18H,16H2	Nc1ccccc1S(=O)(=O)Nc1cccc2c1nccc2	1070159	1	AID_448438_datatable_active
2-Nitro-4-methoxy-N-(2-methyl-quinolin-8-yl)-benzenesulfonamide	4-methoxy-N-(2-methylquinolin-8-yl)-2-nitrobenzenesulfonamide	InChI=1S/C17H15N3O5S/c1-11-6-7-12-4-3-5-14(17(12)18-11)19-26(23,24)16-9-8-13(25-2)10-15(16)20(21)22/h3-10,19H,1-2H3	COc1ccc(c(c1)[N+](=O)[O-])S(=O)(=O)Nc1cccc2c1nc(C)cc2	23631949	1	AID_448438_datatable_active
3-methyl-6,6-dioxo-5H-quinolino[8,7-c][1,2]benzothiazin-9-ol	3-methyl-6,6-dioxo-5H-quinolino[8,7-c][1,2]benzothiazin-9-ol	InChI=1S/C16H12N2O3S/c1-9-2-3-10-4-6-12-13-8-11(19)5-7-14(13)22(20,21)18-16(12)15(10)17-9/h2-8,18-19H,1H3	Oc1ccc2c(-c3ccc4c(c3NS2(=O)=O)nc(cc4)C)c1	16759910	1	AID_448438_datatable_active
9-methoxy-3-methyl-5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide	9-methoxy-3-methyl-5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide	InChI=1S/C17H14N2O3S/c1-10-3-4-11-5-7-13-14-9-12(22-2)6-8-15(14)23(20,21)19-17(13)16(11)18-10/h3-9,19H,1-2H3	COc1ccc2c(-c3ccc4c(c3NS2(=O)=O)nc(cc4)C)c1	16759927	1	AID_448438_datatable_active
3-methyl-9-(trifluoromethyl)-5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide	3-methyl-9-(trifluoromethyl)-5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide	InChI=1S/C17H11F3N2O2S/c1-9-2-3-10-4-6-12-13-8-11(17(18,19)20)5-7-14(13)25(23,24)22-16(12)15(10)21-9/h2-8,22H,1H3	Cc1ccc2c(n1)c1NS(=O)(=O)c3c(-c1cc2)cc(cc3)C(F)(F)F	16759559	1	AID_448438_datatable_active
11-methoxy-3,9-dimethyl-5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide	11-methoxy-3,9-dimethyl-5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide	InChI=1S/C18H16N2O3S/c1-10-4-7-15-13(8-10)16-14(23-3)9-12-6-5-11(2)19-17(12)18(16)20-24(15,21)22/h4-9,20H,1-3H3	COc1cc2ccc(nc2c2c1-c1cc(C)ccc1S(=O)(=O)N2)C	16759937	1	AID_448438_datatable_active
N-(2-methylquinolin-8-yl)-2-nitro-4-(trifluoromethyl)benzenesulfonamide	N-(2-methylquinolin-8-yl)-2-nitro-4-(trifluoromethyl)benzenesulfonamide	InChI=1S/C17H12F3N3O4S/c1-10-5-6-11-3-2-4-13(16(11)21-10)22-28(26,27)15-8-7-12(17(18,19)20)9-14(15)23(24)25/h2-9,22H,1H3	Cc1ccc2c(n1)c(ccc2)NS(=O)(=O)c1ccc(cc1[N+](=O)[O-])C(F)(F)F	16759523	1	AID_448438_datatable_active
N-(6-methoxyquinolin-8-yl)-4-methyl-2-nitrobenzenesulfonamide	N-(6-methoxyquinolin-8-yl)-4-methyl-2-nitrobenzenesulfonamide	InChI=1S/C17H15N3O5S/c1-11-5-6-16(15(8-11)20(21)22)26(23,24)19-14-10-13(25-2)9-12-4-3-7-18-17(12)14/h3-10,19H,1-2H3	COc1cc(NS(=O)(=O)c2ccc(cc2[N+](=O)[O-])C)c2c(c1)cccn2	16759965	1	AID_448438_datatable_active
9-chloro-5H-6-thia-4,5-diaza-chrysene 6,6-dioxide	9-chloro-5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide	InChI=1S/C15H9ClN2O2S/c16-10-4-6-13-12(8-10)11-5-3-9-2-1-7-17-14(9)15(11)18-21(13,19)20/h1-8,18H	Clc1ccc2c(-c3ccc4c(c3NS2(=O)=O)nccc4)c1	16759933	1	AID_448438_datatable_active
2-methoxy-5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide	2-methoxy-5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide	InChI=1S/C16H12N2O3S/c1-21-11-8-10-6-7-13-12-4-2-3-5-14(12)22(19,20)18-16(13)15(10)17-9-11/h2-9,18H,1H3	COc1cnc2c(c1)ccc1-c3c(S(=O)(=O)Nc21)cccc3	23631948	1	AID_448438_datatable_active
9-fluoro-5H-6-thia-4,5-diaza-chrysene 6,6-dioxide	9-fluoro-5H-quinolino[8,7-c][1,2]benzothiazine 6,6-dioxide	InChI=1S/C15H9FN2O2S/c16-10-4-6-13-12(8-10)11-5-3-9-2-1-7-17-14(9)15(11)18-21(13,19)20/h1-8,18H	Fc1ccc2c(-c3ccc4c(c3NS2(=O)=O)nccc4)c1	16759921	1	AID_448438_datatable_active
2-Nitro-N-quinolin-8-yl-4-trifluoromethyl-benzenesulfonamide	2-nitro-N-quinolin-8-yl-4-(trifluoromethyl)benzenesulfonamide	InChI=1S/C16H10F3N3O4S/c17-16(18,19)11-6-7-14(13(9-11)22(23)24)27(25,26)21-12-5-1-3-10-4-2-8-20-15(10)12/h1-9,21H	[O-][N+](=O)c1cc(ccc1S(=O)(=O)Nc1cccc2c1nccc2)C(F)(F)F	16759914	1	AID_448438_datatable_active
2-methyl-5-nitro-N-quinolin-8-ylbenzenesulfonamide	2-methyl-5-nitro-N-quinolin-8-ylbenzenesulfonamide	InChI=1S/C16H13N3O4S/c1-11-7-8-13(19(20)21)10-15(11)24(22,23)18-14-6-2-4-12-5-3-9-17-16(12)14/h2-10,18H,1H3	Cc1ccc(cc1S(=O)(=O)Nc1cccc2c1nccc2)[N+](=O)[O-]	5237741	1	AID_448438_datatable_active
Rocaglaol	(1R,3S,3aR,8bS)-6,8-dimethoxy-3a-(4-methoxyphenyl)-3-phenyl-2,3-dihydro-1H-cyclopenta[b][1]benzofuran-1,8b-diol	InChI=1S/C26H26O6/c1-29-18-11-9-17(10-12-18)26-20(16-7-5-4-6-8-16)15-23(27)25(26,28)24-21(31-3)13-19(30-2)14-22(24)32-26/h4-14,20,23,27-28H,15H2,1-3H3/t20-,23+,25+,26-/m0/s1	COc1ccc(cc1)[C@]12Oc3c([C@]2(O)[C@@H](C[C@H]1c1ccccc1)O)c(OC)cc(c3)OC	393602	1	AID_448438_datatable_active
6-Amino-4-(4-phenoxyphenylethylamino)quinazoline	4-N-[2-(4-phenoxyphenyl)ethyl]quinazoline-4,6-diamine	InChI=1S/C22H20N4O/c23-17-8-11-21-20(14-17)22(26-15-25-21)24-13-12-16-6-9-19(10-7-16)27-18-4-2-1-3-5-18/h1-11,14-15H,12-13,23H2,(H,24,25,26)	Nc1ccc2c(c1)c(NCCc1ccc(cc1)Oc1ccccc1)ncn2	509554	1	AID_448438_datatable_active
[2-[(5-Methylthieno[2,3-d]pyrimidin-4-yl)amino]indan-5-yl]-morpholino-methanone	[2-[(5-methylthieno[2,3-d]pyrimidin-4-yl)amino]-2,3-dihydro-1H-inden-5-yl]-morpholin-4-ylmethanone	InChI=1S/C21H22N4O2S/c1-13-11-28-20-18(13)19(22-12-23-20)24-17-9-14-2-3-15(8-16(14)10-17)21(26)25-4-6-27-7-5-25/h2-3,8,11-12,17H,4-7,9-10H2,1H3,(H,22,23,24)	O=C(c1ccc2c(c1)CC(C2)Nc1ncnc2c1c(C)cs2)N1CCOCC1	509567	1	AID_448438_datatable_active
N4-[2-(4-prop-2-ynoxyphenyl)ethyl]quinazoline-4,6-diamine	4-N-[2-(4-prop-2-ynoxyphenyl)ethyl]quinazoline-4,6-diamine	InChI=1S/C19H18N4O/c1-2-11-24-16-6-3-14(4-7-16)9-10-21-19-17-12-15(20)5-8-18(17)22-13-23-19/h1,3-8,12-13H,9-11,20H2,(H,21,22,23)	C#CCOc1ccc(cc1)CCNc1ncnc2c1cc(N)cc2	509559	1	AID_448438_datatable_active
